name,link,region,district,region_historical,elevation,coordinate_x,coordinate_y,area,population,first_mentioned
Brezany,/wiki/Brezany,Žilinský kraj,Žilina,Horné Považie,381,49.188889,18.673333,3.66,651,1393
Brezina,/wiki/Brezina_(okres_Trebi%C5%A1ov),Košický kraj,Trebišov,Zemplín,179,48.55,21.553056,12.96,649,1300
Breziny,/wiki/Breziny,Banskobystrický kraj,Zvolen,Podpoľanie,366,48.5125,19.084444,5.48,378,1808
Breznica,/wiki/Breznica_(okres_Stropkov),Prešovský kraj,Stropkov,undefined,176,49.163056,21.661111,9.92,840,1404
Breznička,/wiki/Brezni%C4%8Dka_(okres_Polt%C3%A1r),Banskobystrický kraj,Poltár,Novohrad,227,48.420833,19.738333,9.21,743,1279
Breznička,/wiki/Brezni%C4%8Dka_(okres_Stropkov),Prešovský kraj,Stropkov,undefined,235,49.224722,21.702778,5.84,122,1408
Brezno,/wiki/Brezno,Banskobystrický kraj,Brezno,Horehronie,504,48.806667,19.642222,121.96,20889,1265
Brezolupy,/wiki/Brezolupy,Trenčiansky kraj,Bánovce nad Bebravou,Horná Nitra,222,48.701389,18.300556,6.34,522,1294
Brezov,/wiki/Brezov,Prešovský kraj,Bardejov,Šariš,190,49.144444,21.492222,6.89,368,1335
Brezová pod Bradlom,/wiki/Brezov%C3%A1_pod_Bradlom,Trenčiansky kraj,Myjava,Kopanice,265,48.665833,17.540556,41.08,4768,1262
Brezovec,/wiki/Brezovec_(okres_Snina),Prešovský kraj,Snina,Zemplín,269,48.935556,22.386944,3.43,42,1600
Brezovica,/wiki/Brezovica_(okres_Sabinov),Prešovský kraj,Sabinov,Šariš,447,49.145278,20.8475,18.23,1716,1274
Brezovica,/wiki/Brezovica_(okres_Tvrdo%C5%A1%C3%ADn),Žilinský kraj,Tvrdošín,Orava,720,49.340833,19.651944,19.21,1347,1580
Brezovička,/wiki/Brezovi%C4%8Dka,Prešovský kraj,Sabinov,undefined,467,49.128611,20.854722,8.99,411,1320
Brezovka,/wiki/Brezovka,Prešovský kraj,Bardejov,undefined,346,49.270278,21.422222,3.27,113,1559
Brežany,/wiki/Bre%C5%BEany,Prešovský kraj,Prešov,undefined,367,48.979444,21.108611,3.31,190,1329
Brhlovce,/wiki/Brhlovce,Nitriansky kraj,Levice,Hont,204,48.215,18.74,13.38,309,1245
Brieštie,/wiki/Brie%C5%A1tie,Žilinský kraj,Turčianske Teplice,Turiec,561,48.916667,18.7375,11.17,134,1392
Brodské,/wiki/Brodsk%C3%A9,Trnavský kraj,Skalica,Záhorie,160,48.690556,17.015278,19.89,2277,1163
Brodzany,/wiki/Brodzany,Trenčiansky kraj,Partizánske,Stredné Ponitrie,192,48.607222,18.344444,18.29,869,1293
